Apoapsis,200km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
82.58,0,1264.27,2.55,1,27.65,8.11,24016.84,43590.12,73.42,-545531.37,1,False,2,21,
83.12,0,1251.54,2.57,1,27.27,7.81,24307.68,44056.57,73.95,-544177.42,1,False,2,21,
83.66,0,1238.75,2.58,1,26.88,7.53,24599.04,44525.95,74.49,-542791.49,1,False,2,21,
84.2,0,1225.92,2.59,1,26.49,7.26,24890.89,44998.29,75.04,-541372.88,1,False,2,21,
84.74,0,1213.04,2.6,1,26.1,6.99,25183.23,45473.63,75.6,-539920.84,1,False,2,21,
85.28,0,1200.11,2.61,1,25.73,6.75,25476.06,45952,76.17,-538434.62,1,False,2,21,
85.82,0,1187.13,2.63,1,25.35,6.51,25769.36,46433.46,76.75,-536913.45,1,False,2,21,
86.36,0,1174.1,2.64,1,24.97,6.26,26063.12,46918.14,77.34,-535356.49,1,False,2,21,
86.9,0,1161.01,2.65,1,24.59,6.03,26357.34,47406.12,77.94,-533762.9,1,False,2,21,
87.44,0,1147.88,2.67,1,24.21,5.8,26652.01,47897.48,78.56,-532131.85,1,False,2,21,
87.98,0,1134.69,2.68,1,23.84,5.58,26947.11,48392.32,79.18,-530462.51,1,False,2,21,
88.52,0,1121.45,2.69,1,23.46,5.36,27242.63,48890.68,79.82,-528753.97,1,False,2,21,
89.06,0,1108.15,2.71,1,23.08,5.15,27538.58,49392.67,80.47,-527005.33,1,False,2,21,
89.6,0,1094.8,2.72,1,22.72,4.96,27834.93,49898.4,81.14,-525215.67,1,False,2,21,
90.12,0,1081.4,2.73,1,22.35,4.76,28131.67,50407.96,81.82,-523384.02,1,False,2,21,
90.68,0,1067.95,2.75,1,21.98,4.57,28428.81,50921.45,82.51,-521509.38,1,False,2,21,
91.22,0,1054.44,2.76,1,21.62,4.4,28726.32,51439,83.21,-519590.72,1,False,2,21,
91.76,0,1040.87,2.77,1,21.25,4.23,29024.2,51960.71,83.94,-517626.98,1,False,2,21,
92.3,0,1027.25,2.79,1,20.89,4.07,29322.43,52486.71,84.67,-515617.1,1,False,2,21,
92.84,0,1013.57,2.8,1,20.52,3.91,29621,53017.14,85.43,-513559.96,1,False,2,21,
93.38,0,999.84,2.82,1,20.17,3.77,29919.91,53552.12,86.2,-511454.41,1,False,2,21,
93.92,0,986.04,2.83,1,19.81,3.63,30219.14,54091.77,86.99,-509299.27,1,False,2,21,
94.46,0,972.19,2.84,1,19.46,3.49,30518.68,54635.78,87.79,-507092.99,1,False,2,21,
95,0,958.29,2.86,1,19.15,3.36,30818.52,55185.34,88.62,-504835,1,False,2,21,
95.52,0,944.32,2.87,1,18.85,3.24,31118.66,55741.78,89.47,-502524.79,1,False,2,21,
96.08,0,930.3,2.89,1,18.57,3.12,31419.1,56305.55,90.34,-500161.17,1,False,2,21,
96.62,0,916.21,2.9,1,18.28,3.01,31719.82,56876.92,91.24,-497742.8,1,False,2,21,
97.16,0,902.07,2.92,1,18.02,2.91,32020.84,57456.1,92.16,-495268.29,1,False,2,21,
97.7,0,887.86,2.93,1,17.75,2.8,32322.14,58043.43,93.12,-492736.25,1,False,2,21,
98.24,0,873.59,2.95,1,17.49,2.71,32623.73,58639.42,94.1,-490145.33,1,False,2,21,
98.78,0,859.27,2.96,1,17.23,2.61,32925.6,59244.5,95.11,-487494.09,1,False,2,21,
99.32,0,844.88,2.98,1,16.97,2.52,33227.77,59859.13,96.15,-484780.99,1,False,2,21,
99.86,0,830.42,3,1,16.72,2.43,33530.22,60483.78,97.22,-482004.47,1,False,2,21,
100.44,0,814.84,3.01,1,16.44,2.34,33855.4,61165.79,98.41,-478952.24,1,False,2,21,
101.04,0,798.72,3.01,0.99,16.17,2.25,34192.13,61880.97,99.68,-475730.27,1,False,2,21,
101.64,0,782.61,3.01,0.99,15.91,2.16,34529.2,62605.94,100.98,-472444.32,1,False,2,21,
102.26,0,765.98,3.01,0.98,15.64,2.07,34877.85,63365.83,102.36,-468980.01,1,False,2,21,
102.88,0,749.37,3.01,0.97,15.37,1.98,35226.82,64137.26,103.78,-465444.74,1,False,2,21,
103.5,0,732.78,3.01,0.97,15.11,1.9,35576.12,64920.81,105.25,-461837.26,1,False,2,21,
104.12,0,716.21,3.01,0.96,14.85,1.82,35925.73,65717.14,106.76,-458156.34,1,False,2,21,
104.74,0,699.65,3.01,0.96,14.6,1.75,36275.63,66526.99,108.32,-454400.76,1,False,2,21,
105.36,0,683.11,3.01,0.95,14.35,1.67,36625.82,67351.07,109.93,-450569.2,1,False,2,21,
105.98,0,666.58,3.01,0.95,14.11,1.61,36976.29,68190.24,111.6,-446660.4,1,False,2,21,
106.6,0,650.08,3.01,0.94,13.87,1.54,37327.02,69045.38,113.31,-442673.08,1,False,2,21,
107.22,0,633.59,3.01,0.93,13.64,1.48,37678.02,69917.41,115.09,-438605.91,1,False,2,21,
107.84,0,617.11,3.01,0.93,13.41,1.42,38029.27,70807.26,116.93,-434457.52,1,False,2,21,
108.46,0,600.66,3.01,0.92,13.19,1.37,38380.76,71715.88,118.83,-430226.65,1,False,2,21,
109.08,0,584.22,3.01,0.92,12.97,1.32,38732.5,72644.43,120.8,-425911.95,1,False,2,21,
109.7,0,567.79,3.01,0.91,12.76,1.28,39084.47,73594.13,122.85,-421512.06,1,False,2,21,
110.32,0,551.39,3.01,0.91,12.55,1.23,39436.67,74566.26,124.97,-417025.57,1,False,2,21,
110.94,0,535,3.01,0.9,12.34,1.19,39789.1,75562.12,127.17,-412451.01,1,False,2,21,
